creation_time_c,expiry_date_c,bid_size_c,bid_price_c,last_price_c,ask_price_c,strike_price_c,ask_size_c,volume_c,underlying_price_c,creation_time_p,expiry_date_p,bid_size_p,bid_price_p,last_price_p,ask_price_p,strike_price_p,ask_size_p,volume_p,underlying_price_p
09-08-2019,09-27-2019,8.0,0.2335,0.24,0.252,8000,8.0,0.5,10516.22,09-08-2019,09-27-2019,7.7,0.014,0.014,0.015,9000,24.0,19.3,10516.22
09-08-2019,03-27-2020,18.0,0.048,0.056,0.0545,22000,10.9,0.0,10783.54089720663,09-08-2019,03-27-2020,24.0,0.006,0.008,0.0075,4000,6.0,0.0,10783.54089720663
09-08-2019,09-27-2019,,,0.0005,0.0005,26000,8.0,0.0,10516.22,09-08-2019,09-27-2019,,,0.0005,0.0005,3750,38.0,0.0,10516.22
09-08-2019,09-13-2019,1.0,0.319,,0.342,7000,1.0,0.0,10433.850286122024,09-08-2019,12-27-2019,4.0,0.5115,0.5235,0.5935,16000,4.0,0.0,10666.27
09-08-2019,12-27-2019,161.4,0.0005,0.0015,0.0015,52000,2.0,0.0,10666.27,09-08-2019,09-20-2019,7.0,0.048,0.05,0.052,10500,8.0,4.7,10475.022802729782
09-08-2019,10-25-2019,38.0,0.015,0.0145,0.018,15000,7.0,3.0,10562.43076907789,09-08-2019,10-25-2019,10.0,0.2305,,1.2705,13000,3.2,0.0,10562.447692135565
09-08-2019,12-27-2019,0.1,0.0205,0.666,0.97,3500,1.0,0.0,10666.27,09-08-2019,09-20-2019,,,,,12000,,0.0,10475.022802729782
09-08-2019,12-27-2019,19.0,0.1885,0.187,0.195,10000,16.1,0.8,10666.27,09-08-2019,12-27-2019,14.4,0.1815,0.19,0.186,11000,4.6,0.1,10666.27
09-08-2019,09-13-2019,0.7,0.011,0.011,0.0125,11000,0.9,80.4,10433.850286122024,09-08-2019,03-27-2020,10.0,0.0005,,,32000,,0.0,10783.439792706144
09-08-2019,09-13-2019,0.1,0.0265,0.027,0.029,10500,5.0,63.8,10433.845605799985,09-08-2019,03-27-2020,12.0,0.03,0.042,0.034,6000,6.0,0.0,10783.439792706144
09-08-2019,09-27-2019,0.1,0.005,0.6095,0.6125,4250,5.0,0.0,10516.22,09-08-2019,09-13-2019,,,0.0005,0.0005,7000,8.0,0.0,10433.854966084213
09-08-2019,12-27-2019,0.2,0.0145,,0.961,2000,0.5,0.0,10666.27,09-08-2019,12-27-2019,2.0,0.006,1.0385,1.822,22000,0.3,0.0,10666.27
09-08-2019,10-25-2019,20.0,0.007,0.007,0.0085,17000,5.7,3.0,10562.43076907789,09-08-2019,09-27-2019,,,0.0005,0.0005,2000,59.0,0.0,10516.22
09-08-2019,10-25-2019,30.4,0.0855,0.088,0.09,11000,6.6,10.5,10562.413846039277,09-08-2019,09-20-2019,5.0,0.097,0.125,0.143,11500,5.0,0.0,10475.010462627211
09-08-2019,09-20-2019,19.9,0.001,0.001,0.002,14000,38.0,0.1,10475.022802729782,09-08-2019,09-27-2019,10.0,0.0045,0.691,1.1525,20000,0.2,0.0,10516.22
09-08-2019,09-13-2019,5.0,0.2225,0.2485,0.2435,8000,5.0,0.0,10433.845605799985,09-08-2019,09-20-2019,24.0,0.0135,0.014,0.016,9500,37.0,2.1,10475.03514289077
09-08-2019,03-27-2020,15.0,0.248,0.2555,0.257,10000,3.6,0.5,10783.358907721831,09-08-2019,09-13-2019,,,0.0005,0.0005,7500,8.4,0.0,10433.840925662851
09-08-2019,03-27-2020,7.0,0.3225,0.3625,0.376,8000,7.0,0.0,10783.439792706144,09-08-2019,03-27-2020,10.0,0.0005,2.7125,,40000,,0.0,10783.64200172077
09-08-2019,09-20-2019,,,,,8500,,0.0,10475.047482837777,09-08-2019,09-27-2019,7.0,0.1195,0.1,0.128,11500,7.0,0.0,10516.24
09-08-2019,12-27-2019,10.0,0.3105,0.3515,0.3585,7500,10.0,0.0,10666.27,09-08-2019,09-27-2019,,,,,26000,,0.0,10516.22
09-08-2019,10-25-2019,15.0,0.1285,0.133,0.133,10000,6.0,0.0,10562.43076907789,09-08-2019,12-27-2019,19.3,0.0835,0.082,0.088,9000,13.0,1.0,10666.27
09-08-2019,12-27-2019,19.0,0.8515,0.868,0.867,1500,19.0,0.0,10666.27,09-08-2019,09-27-2019,5.0,0.1855,,0.2315,12500,6.0,0.0,10516.2
09-08-2019,09-27-2019,9.1,0.192,0.2155,0.202,8500,6.0,0.0,10516.22,09-08-2019,12-27-2019,10.0,0.0005,3.46,,44000,,0.0,10666.27
09-08-2019,09-27-2019,18.0,0.0015,0.002,0.0025,15000,6.2,9.0,10516.22,09-08-2019,10-25-2019,10.0,0.0065,0.0075,0.0075,7000,24.0,1.5,10562.413846039277
09-08-2019,09-27-2019,,,0.0005,0.0005,22000,9.0,22.0,10516.22,09-08-2019,03-27-2020,7.0,0.1805,0.19,0.1895,10000,6.0,1.1,10783.54089720663
09-08-2019,09-27-2019,10.0,0.0045,0.689,0.804,2500,5.0,0.0,10516.22,09-08-2019,12-27-2019,16.0,0.0505,0.051,0.054,8000,8.0,0.0,10666.27
09-08-2019,12-27-2019,2.8,0.0075,0.0075,0.009,26000,7.0,0.2,10666.27,09-08-2019,12-27-2019,19.3,0.1275,0.135,0.1325,10000,16.3,0.5,10666.27
09-08-2019,10-25-2019,11.0,0.0365,0.038,0.0405,13000,11.0,0.1,10562.40307677042,09-08-2019,10-25-2019,,,,,17000,,0.0,10562.413846039277
09-08-2019,09-27-2019,1.0,0.051,0.5015,0.555,5000,5.0,0.0,10516.22,09-08-2019,12-27-2019,1.0,0.006,,2.0005,24000,0.2,0.0,10666.27
09-08-2019,12-27-2019,22.0,0.01,0.0105,0.012,24000,7.0,0.0,10666.27,09-08-2019,12-27-2019,10.0,0.028,0.0275,0.03,7000,28.1,29.0,10666.27
09-08-2019,12-27-2019,0.1,0.0205,,0.955,2500,0.5,0.0,10666.27,09-08-2019,12-27-2019,24.6,0.0005,0.003,0.0015,3000,8.0,0.0,10666.27
