ask_price,bid_price,creation_time,expiry_date,instrument_name,option_type,strike_price,underlying_price,volume
0.0955,0.087,07-16-2019,07-19-2019,BTC-19JUL19-11500-P,P,11500,10725.582521210443,40.3
0.0035,0.0015,07-16-2019,09-27-2019,BTC-27SEP19-3500-P,P,3500,10854.73,0.0
0.043,0.0385,07-16-2019,12-27-2019,BTC-27DEC19-32000-C,C,32000,11016.52,0.0
0.2095,0.1305,07-16-2019,07-19-2019,BTC-19JUL19-12500-P,P,12500,10725.044632180154,0.0
0.1025,0.0965,07-16-2019,09-27-2019,BTC-27SEP19-14000-C,C,14000,10854.73,18.6
0.0615,0.056,07-16-2019,09-27-2019,BTC-27SEP19-8000-P,P,8000,10854.73,2.6
0.451,0.3565,07-16-2019,07-26-2019,BTC-26JUL19-15000-P,P,15000,10738.546269063676,0.0
0.141,0.1345,07-16-2019,09-27-2019,BTC-27SEP19-10000-P,P,10000,10854.73,59.6
0.3245,0.312,07-16-2019,09-27-2019,BTC-27SEP19-13000-P,P,13000,10854.73,0.0
0.1815,0.174,07-16-2019,09-27-2019,BTC-27SEP19-11000-C,C,11000,10854.73,8.0
0.1545,0.1465,07-16-2019,12-27-2019,BTC-27DEC19-16000-C,C,16000,11016.52,22.4
,,07-16-2019,09-27-2019,BTC-27SEP19-30000-P,P,30000,10855.27,0.0
0.007,0.005,07-16-2019,07-26-2019,BTC-26JUL19-15000-C,C,15000,10738.546269063676,6.1
0.0125,0.0095,07-16-2019,07-26-2019,BTC-26JUL19-14000-C,C,14000,10738.546269063676,65.2
0.3955,0.3805,07-16-2019,12-27-2019,BTC-27DEC19-13000-P,P,13000,11016.52,0.0
0.2115,0.152,07-16-2019,07-26-2019,BTC-26JUL19-12500-P,P,12500,10738.546269063676,0.1
0.9325,0.01,07-16-2019,09-27-2019,BTC-27SEP19-2000-C,C,2000,10854.73,0.0
,,07-16-2019,09-27-2019,BTC-27SEP19-24000-P,P,24000,10854.73,0.0
